,Municipios,Altitude,X_coord,Y_coord,CHUVA,ETP,ETR,DEF,EXC,ER/ETP,TEMP_MÉD_ANUAL
34,EstacaoMeteorologicaES35,50,-40.2,-19.59,1219.87666666667,1385.09556194101,1193.17617911337,191.919382827642,26.7004875532947,0.861439608860854,24.8595814166667
35,EstacaoMeteorologicaES36,95,-40.32,-19.27,1218.28333333333,1364.4725301208,1143.00210884725,221.470421273551,75.2812244860878,0.837687885696062,24.7147160833333
36,EstacaoMeteorologicaES37,80,-40.52,-19.3,1279.16666666667,1404.37173578429,1151.20083383899,253.170901945296,127.965832827673,0.819726575596518,24.9722235
37,EstacaoMeteorologicaES38,70,-41.01,-19.52,895.76,1475.08190988619,895.76000001,579.321909876189,0,0.607261192755806,25.3834576666667
38,EstacaoMeteorologicaES39,250,-41.06,-19.9,1068.31333333333,1283.57635603819,994.571268393121,289.005087645067,73.7420649402124,0.774843867849753,24.0830371666667
39,EstacaoMeteorologicaES40,160,-41.02,-19.69,925.02,1371.58737171755,925.02000001,446.56737170755,0,0.6744156581521,24.7258065833333
40,EstacaoMeteorologicaES41,600,-41.03,-19.06,870.38,1049.3953653959,850.837163962433,198.558201433472,19.5428360375673,0.810787994705349,21.8116688333333
41,EstacaoMeteorologicaES42,80,-40.49,-20.42,1292.12666666667,1362.75594427854,1253.75737632445,108.998567954085,38.3692903422165,0.920016075943965,24.6936641666667
42,EstacaoMeteorologicaES43,70,-40.32,-20.19,1390.78563218391,1359.67362333828,1284.53951792502,75.1341054132686,106.246114258892,0.944741073060755,24.6797590833333
43,EstacaoMeteorologicaES44,6,-40.51,-20.65,1297.35,1436.12819007874,1276.71847299301,159.409717085734,20.6315270069931,0.889000356523192,25.17289925
44,EstacaoMeteorologicaES45,25,-40.83,-20.78,1601.29,1453.56587392877,1395.91507867791,57.6507952508575,205.374921322087,0.960338367675738,25.2667051666667
45,EstacaoMeteorologicaES46,40,-40.95,-20.95,1146.57,1446.87771224479,1146.57000001,300.307712234788,0,0.792444302864498,25.21945875
46,EstacaoMeteorologicaES47,710,-40.74,-20.03,1259.45,957.736590733648,928.171502895768,29.5650878378808,331.278497104232,0.969130251340577,20.59309775
47,EstacaoMeteorologicaES48,940,-40.98,-20.14,1256.62,874.894636600151,849.919254037243,24.9753825629085,406.700745962757,0.971453268178711,19.1575525
48,EstacaoMeteorologicaES49,6,-40.66,-20.8,1142.39333333333,1451.08415275778,1142.55044424587,308.533708511911,0,0.787377108401644,25.258673
49,EstacaoMeteorologicaES50,160,-40.53,-20.1,1485.93666666667,1300.2750104972,1269.20911051287,31.0658999843224,216.727556153792,0.97610820808404,24.2410348333333
50,EstacaoMeteorologicaES51,515,-40.81,-20.56,1703.73,1053.84361011102,1053.44059993495,0.40301017607289,650.289400065051,0.999617580661679,21.8870636666667
51,EstacaoMeteorologicaES52,544,-40.68,-20.41,1600.78666666667,1031.23168418638,1031.18953803148,0.042146154900053,569.59712863519,0.999959130275431,21.61523925
52,EstacaoMeteorologicaES53,80,-40.94,-20.88,1385.07666666667,1403.99276987063,1279.2889128594,124.703857011227,105.787753807266,0.911179131625643,24.9487123333333
53,EstacaoMeteorologicaES54,200,-40.48,-20.26,1501.85,1254.91561537371,1234.34725102346,20.5683643502466,267.502748976535,0.983609763000581,23.8860421666667
54,EstacaoMeteorologicaES55,640,-40.78,-20.28,1245.10333333333,989.589763328638,967.094753902512,22.495009426126,278.008579430822,0.977268348703951,21.0559026666667
55,EstacaoMeteorologicaES56,265,-40.88,-20.73,1616.29666666667,1228.48902390372,1220.07545254696,8.41357135675814,396.221214119702,0.993151284876748,23.64602725
56,EstacaoMeteorologicaES57,410,-40.61,-20.08,1386.97,1113.34355056713,1107.49341442222,5.8501361449112,279.476585577782,0.994745434918152,22.567845
57,EstacaoMeteorologicaES58,3,-40.36,-20.52,1168.04068965517,1424.13250880461,1168.04068966517,256.09181913944,0,0.820176972608821,25.1034793333333
58,EstacaoMeteorologicaES59,804,-40.93,-20.3,1187.39,923.055881794537,895.554729079176,27.5011527153605,291.835270920824,0.970206405421636,20.0286931666667
59,EstacaoMeteorologicaES60,76,-41.2,-20.91,1105.59482758621,1442.22023707934,1105.59482759621,336.625409483134,0,0.766592229932345,25.1775344166667
60,EstacaoMeteorologicaES61,576,-41.68,-20.77,1555.73,1077.67089417865,1035.48209315162,42.1888010270274,520.247906848379,0.960851869290595,22.10960825
61,EstacaoMeteorologicaES62,107,-41.2,-20.61,1316.11666666667,1418.7608829654,1243.32263225739,175.438250708003,72.7940344092725,0.876344031743169,25.02976025
62,EstacaoMeteorologicaES63,127,-41.47,-20.75,1392.22666666667,1428.51727279932,1262.81309500967,165.704177789654,129.413571657001,0.884002678200075,25.07436975
63,EstacaoMeteorologicaES64,580,-41.02,-20.7,1606.31,1029.15495084208,1028.57265251641,0.582298325667686,577.737347483592,0.999434197615052,21.5702251666667
64,EstacaoMeteorologicaES65,600,-41.24,-20.35,1391.59,1039.58182324907,1010.93756056047,28.6442626886049,380.652439439531,0.972446360596147,21.6862590833333
65,EstacaoMeteorologicaES66,615,-41.54,-20.35,1219.60666666667,1052.43769208923,954.512758202331,97.924933886895,265.093908464335,0.906954174462812,21.8214990833333
66,EstacaoMeteorologicaES67,772,-41.85,-20.69,1439.20666666667,983.633364408711,957.35192179567,26.2814426130412,481.854744870997,0.973281261530977,20.8981789166667
67,EstacaoMeteorologicaES68,600,-41.4,-20.94,1329.17666666667,1039.77723038881,1015.09512659411,24.6821037946917,314.081540072552,0.976262123199733,21.6800085
68,EstacaoMeteorologicaES69,794,-41.67,-20.54,1620.49,964.65820027273,948.070502403781,16.5876978689481,672.419497596218,0.982804585225878,20.6351645
69,EstacaoMeteorologicaES70,920,-41.7,-20.32,1523.25333333333,914.739210633605,879.658440712769,35.0807699208353,643.594892620564,0.96164943022773,19.8313463333333
70,EstacaoMeteorologicaES71,580,-41.41,-20.37,1398.25,1062.95622910258,1011.51152282572,51.4447062768646,386.738477174284,0.951602234533874,21.9568989166667
71,EstacaoMeteorologicaES72,380,-41.51,-20.53,1384.02666666667,1204.12051183083,1125.69439615757,78.4261156732649,258.332270509098,0.934868549366359,23.39377625
72,EstacaoMeteorologicaES73,1075,-41.06,-20.37,1361.94,830.569711277826,810.799180510712,19.7705307671138,551.140819489288,0.976196422168229,18.22870225
73,EstacaoMeteorologicaES74,180,-41.35,-20.68,1747.97666666667,1359.4151699588,1313.60984200407,45.8053279547365,434.366824662599,0.966305122256268,24.625152
74,EstacaoMeteorologicaES75,300,-41.12,-20.08,1112.72,1241.61533183681,984.073058194994,257.54227364182,128.646941805006,0.792574828098475,23.7417363333333
75,EstacaoMeteorologicaES76,4,-40.84,-21.01,1037.11,1470.74311000272,1037.11000000961,433.633109993107,0,0.705160536164398,25.3687155833333
76,EstacaoMeteorologicaES77,59,-41.46,-21.21,1118.54,1487.77580207865,1118.54000000011,369.235802078541,0,0.751820266492666,25.4355499166667
77,EstacaoMeteorologicaES78,67,-41.36,-21.06,1380.49666666667,1469.52592971662,1263.03639483473,206.489534881887,117.460271831933,0.859485613212891,25.3339995
78,EstacaoMeteorologicaES79,150,-41.65,-21.04,1355.32333333333,1417.38685448652,1216.05986554732,201.326988939197,139.263467786009,0.857959040397527,24.992061
79,EstacaoMeteorologicaES80,120,-41.24,-21.06,1447.45068965517,1394.31938253192,1308.65747866805,85.6619038638675,138.793210987123,0.938563642636656,24.8688701666667
80,EstacaoMeteorologicaES81,138,-41.48,-20.75,1292.05291380284,1322.41050553088,1154.09798144606,168.31252408482,137.954932356777,0.872722937861681,24.3614395984953
81,EstacaoMeteorologicaES82,35,-40.73,-20.63,1554.28333333333,1391.80249135087,1358.48100454683,33.32148680404,195.802328786507,0.976058753299329,24.8747063685179
82,EstacaoMeteorologicaES83,950,-41.05,-20.38,1380.947,860.35856154883,838.86545797632,21.4931035725102,542.08154202368,0.975018434716546,18.8369176569592
83,EstacaoMeteorologicaES84,250,-40.83,-18.37,1350.15433333333,1343.44256775785,1209.72582279083,133.716744967021,140.428510542505,0.900467092396671,24.5946621661167
